|FIG_ID|FigName|Publisher|caption|class|image_url|pmc_url|uid|FigURL
0|3617|PMC5207756_pone.0169075.g002.jpg|Plos One|Magnification of the gel image in the area where the calreticulin spot (no.757) was located in Fig 1.The table indicates the identities the other protein spots migrating in this region of the profile along with their fold-change and p-value from the SameSpots analysis of mucus samples from Trial#1.|blots|https://openi.nlm.nih.gov/imgs/512/370/5207756/PMC5207756_pone.0169075.g002.png|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5207756|PMC5207756|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5207756/bin/pone.0169075.g002.jpg
1|1354|PMC1635312_gkl733f10.jpg|Nucleic Acids Research|Electrophoretic mobility shift analysis of the interaction between the wild type sacB and several mutant RAT-RNAs (see Figure 8) with the RNA-bindig domain of LicT. In all lanes, 100 pmol of RNA were used. In the lanes labelled with ‘+’, 250 pmol of LicT were added prior to electrophoresis.|blots|https://openi.nlm.nih.gov/imgs/512/34/1635312/PMC1635312_gkl733f10.png|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1635312|PMC1635312|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1635312/bin/gkl733f10.jpg
2|142541|PMC4204850_pone.0109693.g003.jpg|Plos One|The impact of HIF1α/ARNT on Per2 transcriptional activity.(A) NIH3T3 cells were co-transfected with the Per2 promoter reporter (400 ng) and the indicated expression plasmids (300 ng) for HIF1α/ARNT or empty vector pcDNA3 (600 ng) as a control. Bioluminescence was then measured using a real-time monitoring assay. Control, transfected with empty vector pcDNA3 (uncloned-vector control); + HIF1α/ARNT, transfected with the expression plasmids. Luciferase activities of four replicate samples are shown. (B) Detrended bioluminescence is shown. Period, amplitude, and acrophase of the oscillations were measured on days 2 to 5 using the Cosinor software (Circadian Rhythm Laboratory). Amplitude significantly increased (mean ± SEM, n = 4) compared to the control (p&lt;0.01, Student's t-test). See Table 2. (C) U2OS cells were co-transfected with the Per2 promoter reporter (400 ng) and the indicated expression plasmids (300 ng) for HIF1α/ARNT or empty vector pcDNA3 (600 ng) as a control. Bioluminescence was then measured using a real-time monitoring assay. Control, transfected with empty vector pcDNA3 (uncloned-vector control); + HIF1α/ARNT, transfected with the expression plasmids. Luciferase activities of four replicate samples are shown. (D) Detrended bioluminescence is shown. Period, amplitude, and acrophase of the oscillations were measured on days 2 to 5 using the Cosinor software (Circadian Rhythm Laboratory). Amplitude significantly increased (mean ± SEM, n = 4) compared to the control (p&lt;0.01, Student's t-test). See Table 2. (E) Caki-2 cells were co-transfected with the Per2 promoter reporter (2 µg) and the indicated expression plasmids (1.5 µg) for HIF1α/ARNT or empty vector pcDNA3 (3 µg) as a control. The bioluminescence was then measured using a real-time monitoring assay. Control, transfected with empty vector pcDNA3 (uncloned-vector control); + HIF1α/ARNT, transfected with the expression plasmids. The luciferase activities of four replicate samples are shown. (F) Detrended bioluminescence is shown. Period, amplitude, and acrophase of the oscillations were measured from days 2 to 5 using the Cosinor software (Circadian Rhythm Laboratory). Amplitude significantly increased (mean ± SEM, n = 4) compared to the control (p&lt;0.01, Student's t-test). See Table 2.|others-openset|https://openi.nlm.nih.gov/imgs/512/365/4204850/PMC4204850_pone.0109693.g003.png|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4204850|PMC4204850|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4204850/bin/pone.0109693.g003.jpg
3|43404|PMC3189925_pone.0026093.g006.jpg|Plos One|Liquid chromatography–mass spectrometry (LC-MS)/Single Ion Monitoring (SIM) chromatogram.Representative Profile for the Oleic Acid-Protein Complex and its 18 C13 isotopic Oleic Acid Internal Standard (ISTD). The original Complex was diluted 60 times with ISTD at 0.5 µg/mL. 25 µL sample solution was injected on to the column.|mass_spectometer|https://openi.nlm.nih.gov/imgs/512/371/3189925/PMC3189925_pone.0026093.g006.png|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3189925|PMC3189925|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3189925/bin/pone.0026093.g006.jpg
4|113762|PMC3913934_srep03978-f4.jpg|Scientific Reports|Schematic illustration of experimental setups and photocatalytic process.|others-openset|https://openi.nlm.nih.gov/imgs/512/174/3913934/PMC3913934_srep03978-f4.png|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3913934|PMC3913934|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3913934/bin/srep03978-f4.jpg
5|32493|PMC2229840_pone.0001627.g002.jpg|Plos One|Analysis of in vivo BrdU incorporation.Rabbits were treated as described in Fig. 1. PBMCs were collected at days 11, 15, 17, 20 and 24 post-inoculation, while mononuclear cells were isolated from popliteal lymph node and spleen at the time of death. Cells were labelled with anti-CD11b, IgM, CD5, CD4 and CD8 mAbs as the primary antibodies. Alexa 633-GAM was used as the secondary antibody. In vivo BrdU incorporation was revealed by immunofluorescent staining as described in Methods. After staining, cells were analysed by flow cytometry. A. Representative flow cytometry dot plots are shown for each double staining, they illustrate the data obtained at day 17 post-infection for the PBMC of rabbits MR17/1 and IR17/1. The data represent the percentages of BrdU positive cells (y-axis) calculated based on the acquisition of 10,000 cells expressing the indicated cell marker (x-axis). B. The percentage of BrdU positive cells amongst the indicated cellular subset was determined and compared between AlHV-1 infected (left column: bold lines; middle and right columns: hatched bars) and mock infected (left column: dotted lines; middle and right columns: open bars) groups (* P&lt;0.05; **P&lt;0.005, *** P&lt;0.0001). In the left column the following symbols were used: ▴, MR17/1 and IR17/1; □, MR17/2 and IR17/2; •, MR20 and IR20; ○, MR24 and IR24.|flow_cytometry|https://openi.nlm.nih.gov/imgs/512/280/2229840/PMC2229840_pone.0001627.g002.png|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2229840|PMC2229840|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2229840/bin/pone.0001627.g002.jpg
6|28771|PMC4516484_jcmm0013-3268-f2.jpg|Journal Of Cellular And Molecular Medicine|Cell surface (A) and total (B) expressions of WT and mutant hMC4Rs stably expressed in HEK293 cells. Establishment of the stable cell lines was performed as described in ‘Materials and methods’. Cell surface and total expression levels of the WT and mutant hMC4Rs were quantitatively determined by flow cytometry. The results are expressed as percentage of total or cell surface expression levels of the WT hMC4R. Shown are mean ± S.E.M. of three experiments. Star (*) indicates significant difference from WT hMC4R (P &lt; 0.05).|flow_cytometry|https://openi.nlm.nih.gov/imgs/512/21/4516484/PMC4516484_jcmm0013-3268-f2.png|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4516484|PMC4516484|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4516484/bin/jcmm0013-3268-f2.jpg
7|36037|PMC3159971_msb201150-f3.jpg|Molecular Systems Biology|Model calibration with experimental data of JAK2-STAT5 signaling obtained by different experimental techniques. For all experiments, primary CFU-E cells were starved and stimulated with 5 U/ml Epo. At the indicated time points, samples were subjected to (A) quantitative immunoblotting, (B) mass spectrometry analysis or (C) qRT–PCR. Experimental data (black circles) with estimated standard errors and trajectories of the best fit (solid lines) are represented. Mass spectrometry data represent replicates of four independent experiments. (For additional experimental data used for the model calibration, see Figure 4 and Supplementary Figures S11–S23.) In total, 531 data points representing 18 different experimental conditions were used for model calibration. Source data is available for this figure at www.nature.com/msb.|mass_spectometer|https://openi.nlm.nih.gov/imgs/512/91/3159971/PMC3159971_msb201150-f3.png|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3159971|PMC3159971|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3159971/bin/msb201150-f3.jpg
8|25501|PMC4180782_nihms-605392-f0001.jpg|Obesity (silver Spring, Md.)|Effects of NK cell ablation on tissue leukocyte frequenciesA. Flow cytometry gating strategy: Representative scatter-plots from IATSVF demonstrating flow cytometry gating strategy. After exclusion of doublets and non-viable cells, CD45+ cells were gated. Macrophages (F4/80+CD11b+) were defined by sequential gating on F4/80+ cells followed by CD11b+cells. CD11c+cells, CD206+ cells, and CD11c−CD206− (double negative) cells within the F4/80+CD11b+ macrophage population were also studied (overlapping gates displayed). T-cells (CD3+) were defined by gating on CD3+ cells, followed by gating on CD4+ and CD8+ T-cell subpopulations. NKT cells were defined by gating on CD3+ cells followed by gating on NKp46, NK1.1, and DX5 separately. NK cells were defined by gating on CD3− cells, followed by gating on DX5, NKp46, and NK1.1 separately (see Figure 1B). An identical gating strategy was used for SAT and spleen (not shown). Metric in each scatterplots is percent of parent gate for gated cell population.B. NK cell ablation: Representative scatter-plots of NK cell markers (NKp46, NK1.1, DX5) in CD45+CD3− cells after exclusion of doublets and non-viable cells in IATSVF and splenocytes (NKp46 only shown). Similar results were observed in SAT (scatter-plots not shown). Flow cytometry analysis demonstrates ablation of NK cells in obese DT-treated Cre+experimental animals but not in obese DT-treated Cre− control animals. Metric in each scatterplot is percent of parent gate for gated cell population.C. The effect of NK cell ablation on tissue NK cell, T-cell, and NKT cell frequencies: Tissue frequencies of NK cells, T-cells and NKT cells in obese mice after treatment with DT. Ordinates: percent of designated cell population within all viable cells isolated from designated tissue. Single asterisk: p&lt;0.050, double asterisk: p&lt;0.100, independent t-test comparing Cre− and Cre+ cohorts.D. The effect of NK cell ablation on tissue macrophage frequency: Tissue frequencies of macrophages (F4/80+CD11b+) in Cre+and Cre− obese mice after treatment with DT. Ordinate: percent of macrophages within all viable cells within each tissue. Asterisk: p=0.008, independent t-test comparing Cre−and Cre+ cohorts.E. The effect of NK cell ablation on CD11c/CD206 subpopulation frequencies in intra-abdominal adipose tissue: Frequencies of CD11c+, CD206+, and CD11c-CD206-macrophage subpopulations in IAT from Cre+ and Cre− obese mice after treatment with DT. Ordinate: percent of each cell subpopulation within all viable cells. Double asterisk: p=0.071, independent t-test comparing Cre− and Cre+ cohorts.n= 15 Cre+ and 17 Cre− animals.|flow_cytometry|https://openi.nlm.nih.gov/imgs/512/357/4180782/PMC4180782_nihms-605392-f0001.png|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4180782|PMC4180782|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4180782/bin/nihms-605392-f0001.jpg
9|116538|PMC5020653_srep32825-f1.jpg|Scientific Reports|Experimental model system for studying membrane-mediated interactions.(a) Three-dimensional confocal image of a typical Giant Unilamellar Vesicle (GUV, in magenta) with attached colloidal particles (in green). Supplementary Video S1 contains the corresponding movie. (b) Schematic of the avidin-biotin linkage between membrane and particle. By varying the avidin concentration on the particles we control the adhesion strength. Polyethylene glycol (PEG) suppresses electrostatic interactions between membrane and particles, as well as non-specific adhesion between particles.|others-openset|https://openi.nlm.nih.gov/imgs/512/133/5020653/PMC5020653_srep32825-f1.png|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5020653|PMC5020653|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5020653/bin/srep32825-f1.jpg
